Sentence,SRLs
कलाम सिंह और गांधी शुक्रवार राष्ट्र होली शुभकामनाएं दीं,NO_SRL NO_SRL ARG0 NO_SRL ARGM-TMP ARG2 ARGM-LOC ARG1 NO_SRL
कलाम अपने संदेश कहा कि होली पर्व NULL खुशियां बांटने और माफ करने NULL2 है,ARG0 NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL ARG1 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL ARG2-ATR NO_SRL
सिंह अपने संदेश कहा कि रंगों त्योहार भारत खूबसूरती व मजबूती दर्शाता,ARG0 NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
वहीं गांधी कहा कि होली NULL मित्रता बढ़ाने त्योहार है,ARGM-DIS ARG0 NO_SRL ARG1 ARG1 NO_SRL ARG1 NO_SRL ARG2-ATR NO_SRL
NULL संघर्ष भुलाने व माफ करने उत्सव लोगों द्वेष व2 भेदभाव मिटाता,NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL ARG0 ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL
दिल्ली जोशी लोगों NULL त्योहार शांतिपूर्वक मनाने अपील की2,NO_SRL NO_SRL ARG0 NO_SRL ARG1 ARGM-MNR NO_SRL NO_SRL NO_SRL
संगठन सम्मेलन आयोजन ढाका मई सप्ताह या जून सप्ताह2 होने संभावना है,NO_SRL NO_SRL ARG1 ARGM-LOC NO_SRL NO_SRL ARGM-TMP NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
", पाकिस्तान सोमवार कहा कि बार स्थगित हो सम्मेलन तारीख तय करने उसने देशों परामर्श शुरू कर",ARGM-DIS ARG0 ARGM-TMP NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
सूत्रों सरकार बंगलादेश संवाद भेजा कि सिंह मई सत्र समापन सम्मेलन शिरकत कर,ARGM-ADV ARG0 ARG2-GOL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
उन्होंने कहा बात सहमति है कि जून सप्ताह बांग्लादेश मानसून शुरू होने सम्मेलन आयोजन किया,ARG0 NO_SRL ARGM-LOC ARG1 ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
सूत्रों बताया कि इसके समय मई सप्ताह या जून सप्ताह2 हो,ARG0 NO_SRL ARG1 ARGM-PRP ARG2-ATR NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
उन्होंने बताया कि अगर दौरान सम्मेलन आयोजित हुआ तो इसमें देरी हो,ARG0 NO_SRL ARG1 ARGM-ADV NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
सूत्रों बताया कि बंगलादेश व्यवस्था हालत सुधार हुआ,ARG0 NO_SRL ARG1 ARGM-LOC NO_SRL ARGM-LOC ARG1 NO_SRL
", पाकिस्तान विभाग प्रवक्ता जिलानी आज बताया हमें सम्मेलन शामिल होने भारत तैयार होने2 जानकारी है",ARGM-DIS NO_SRL NO_SRL NO_SRL ARG0 ARGM-TMP NO_SRL ARG1 NO_SRL NO_SRL ARGM-PRP ARG1 ARG2-ATR NO_SRL ARG2-ATR ARG1
उन्होंने कहा हम तारीख तय करने बंगलादेश और देशों संपर्क हैं और2 जल्दी इसके तय2 होने उम्मीद NULL है,ARG0 NO_SRL ARG1 NO_SRL NO_SRL ARGM-PRP NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL ARG1 NO_SRL NO_SRL ARG2-ATR NO_SRL NO_SRL
NULL गौरतलब है कि लंका नेपाल भूटान और मालदीव देशों समूह अध्यक्ष अभी पाकिस्तान है2,ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARGM-TMP ARG2-ATR NO_SRL
इसके नेपाल राजशाही आपातकाल लगाने और बंगलादेश सुरक्षा हालत खराब होने भारत फरवरी इसमें शामिल होने2 इनकार कर,ARGM-TMP ARGM-LOC ARG0 ARG1 NO_SRL NO_SRL ARGM-LOC NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बस जून कश्मीर और पाकिस्तान यात्रा नेताओं अपने पासपोर्ट ले हिदायत दी,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG1 NO_SRL NO_SRL NO_SRL
इसके कांफ्रेंस ऑफिस जमा किए फॉर्म संख्या ११ हो,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
", १७ सदस्यों यात्रा मंजूरी दिए फैसले विरोध फ्रंट जेकेएलएफ ने NULL मलिक भेजने निर्णय किया",NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL ARG2 NO_SRL NO_SRL NO_SRL
गरीबी अपनी NULL संतान बेचने खबरें उड़ीसा नई हैं,ARGM-ADV NO_SRL NO_SRL ARG1 NO_SRL ARG1 ARGM-MNR ARG2-ATR NO_SRL
फिर भुखमरी और गरीबी तंग आकर उड़ीसा महिला अपने बेटे महज रुपये बेच,ARGM-MNR NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARGM-LOC ARG0 NO_SRL ARG1 NO_SRL ARGM-PRP NO_SRL
NULL बच्चे खरीदने दम्पत्ति संतान थी,NO_SRL ARG1 NO_SRL ARG1 ARG2-ATR NO_SRL
राज्य राजधानी किलोमीटर शहर NULL पटना झोपड़ी रहने नाइक महिला गरीबी तंग आकर अपने बेटे बेच,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG2-LOC NO_SRL ARG0 ARG0 NO_SRL NO_SRL ARGM-MNR NO_SRL ARG1 NO_SRL
जब वह गर्भावस्था गुजर तो उसके पति उसका परित्याग कर,ARGM-TMP ARG0 ARG2-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
इसके परिवार जिम्मेदारी उस आ,ARGM-DIS NO_SRL ARG1 ARGM-LOC NO_SRL
मजदूर NULL रूप काम करने नीता कभी NULL2 जंगल लकड़ियां लेकर बेचती,NO_SRL NO_SRL ARGM-MNR ARG1 NO_SRL ARG0 ARGM-MNR NO_SRL ARG2-SOU ARG1 ARG1 NO_SRL
जून NULL रोटी जुटाने असमर्थ महिला वर्ष अक्तूबर अपनी संतान जन्म दिया,NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
उसने अपना बच्चा दम्पति हाथ नवम्बर रुपए बेच,ARG0 NO_SRL ARG1 NO_SRL ARGM-LOC ARGM-TMP ARGM-LOC NO_SRL
नीता पति सुदम उसके बच्चों उसे ही छोड़,NO_SRL NO_SRL ARG0 NO_SRL ARGM-MNR ARG2-GOL ARGM-EXT NO_SRL
उसकी पूर्णिमा साल है जबकि बेटा बॉबी साल2 है2,NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
NULL गौरतलब है कि सुदम रूप रुपए व्यक्ति हाथ बॉबी सौदा तय कर,ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हालांकि उन्होंने मामले गोद लेने घटना बताया,NO_SRL ARG0 NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
शनिवार रात बजे घड़ी NULL सुईयों मिलने वर्ष शुभारंभ हो जिसका दुनिया लोगों आतिशबाजी स्वागत किया,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हिंसा NULL और आपदा भरे २००५ विदा करने लोग जशन मनाने मशगूल हो,NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL
दूसरे बधाई देने टेलीफोन घंटी लगातार बजती,NO_SRL NO_SRL ARGM-PRP NO_SRL ARG1 ARGM-MNR NO_SRL
NULL सिडनी लेकर हांगकांग लोगों जशन मनाकर साल स्वागत किया,NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
चीन राजधानी बीजिंग बजे बार घंटियां और ढोल बजाए जो नववर्ष शुभारंभ संकेत था,NO_SRL NO_SRL ARGM-LOC ARGM-TMP ARGM-MNR NO_SRL ARG1 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARG2-ATR ARGM-DIS
भारत महानगरों जशन माहौल था,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL
NULL दिल्ली कोलकाता मुंबई महानगरों लोगों NULL2 पटाखे छुड़ाकर साल स्वागत किया,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
स्थानों लोगों प्रार्थना की,ARGM-LOC ARG0 ARG1 NO_SRL
भारत अपराधी और NULL तौर पाकिस्तान रह इब्राहिम स्तर शिकंजा कसा,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG2-LOC NO_SRL ARG0 NO_SRL NO_SRL NO_SRL
नोटिस जारी होने दाऊद देशों प्रवेश करने प्रतिबंध लग,NO_SRL NO_SRL ARGM-TMP NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL
उसे अमरीका अपनी सूची डाल,ARG1 ARG0 NO_SRL ARGM-LOC NO_SRL
सूत्रों यहां बताया कि इंटरपोल महासभा सप्ताह बर्लिन प्रस्ताव पारित कर कायदा NULL और तालिबान जुड़े लोगों नोटिस जारी करने फैसला लिया,ARG0 ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG2 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
नोटिस देशों भेजा,ARG1 ARG2-GOL NO_SRL
इसके पाकिस्तान दबाव बढ़ेगा कि NULL वह अपने NULL2 देश नाम छिपे दाऊद बाहर निकाले,ARGM-DIS ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARGM-MNR NO_SRL ARG1 ARGM-LOC NO_SRL
इसके दाऊद पासपोर्ट और आधार NULL देश देश2 जाने अंकुश लगेगा,NO_SRL ARGM-MNS NO_SRL ARGM-MNS NO_SRL NO_SRL ARG2-SOU ARG2-GOL NO_SRL NO_SRL NO_SRL
१९९३ विस्फोटों जिम्मेदार दाऊद राष्ट्र सूची नागरिक बताया,NO_SRL NO_SRL NO_SRL ARG2 NO_SRL ARGM-LOC ARG1 NO_SRL
जिसमें उसका स्थान महाराष्ट्र रत्नागिरी दर्ज है व उसके पासपोर्ट ३३३६०२३३३६०२ है2,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL
भारत मानना कि दाऊद पाकिस्तान शहर रह और वहीं अपनी गतिविधियों अंजाम दे,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG2-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
इसके उसका जाना दुबई लगा,ARGM-DIS ARG0 ARG0 ARG1 NO_SRL
इंटरपोल दाऊद नोटिस जारी करने पाकिस्तान मुसीबत बढ़,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP NO_SRL ARG1 NO_SRL
अमेरिका चुनाव सिर है और उसके खौफ NULL सबब बने NULL2 लादेन लेकर खबरों सिलसिला अचानक तेज हो,ARGM-LOC ARG1 ARGM-LOC NO_SRL NO_SRL ARGM-PRP NO_SRL NO_SRL ARG2-ATR NO_SRL NO_SRL ARG1 ARGM-MNR NO_SRL ARG1 ARGM-MNR ARG2-ATR NO_SRL
न्यूज़ NULL हवाले रविवार मिली जानकारी लादेन पाकिस्तान देखा,NO_SRL NO_SRL ARG2-SOU ARG1 NO_SRL ARGM-ADV ARG1 ARGM-LOC NO_SRL
NULL दावा किया कि NULL2 उपग्रहों ली तस्वीरों सेना विमानों उसके काफिले देखा,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG2-SOU NO_SRL ARGM-ADV NO_SRL ARG0 NO_SRL ARG1 NO_SRL
इसकी सूचना एजेंसियों दिन एजेंसी एफबीआई दी,NO_SRL ARG1 ARG0 ARGM-TMP NO_SRL ARG2 NO_SRL
रिपोर्ट कहा कि पड़ोस लादेन मौजूदगी NULL खबर कश्मीर सुरक्षा बढ़ा,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP ARGM-LOC ARG1 NO_SRL
", अमेरिका पत्रिका वीक रविवार अधिकारियों हवाले कहा कि हफ्ते वे पाकिस्तान NULL लादेन पकड़ने करीब पहुँच",ARGM-DIS NO_SRL NO_SRL ARG0 ARGM-TMP NO_SRL ARG2 NO_SRL ARG1 ARGM-TMP ARG0 ARGM-LOC NO_SRL ARG1 NO_SRL ARGM-LOC NO_SRL
उन्होंने कहा कि वे अलकायदा व्यक्ति दबोचते NULL जिसके लादेन शायद दाएं या बाएं मिल,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG1 NO_SRL NO_SRL ARGM-TMP ARG1 ARGM-ADV NO_SRL ARGM-DIR NO_SRL NO_SRL
उसके पायलट NULL लादेन पहचानने दावा किया,NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
गौरतलब NULL है कि दिन मीडिया खबरें आई कि2 लादेन पाकिस्तान पकड़ और उसे अमेरिका चुनाव पहले2 जगज़ाहिर किया ताकि बुश इसका फायदा उठा,ARG2-ATR ARG1 NO_SRL NO_SRL ARGM-TMP ARGM-LOC ARG1 NO_SRL ARGM-ADV ARG1 ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
वह बोल NULL NULL2 सुन,ARG0 NO_SRL NO_SRL NO_SRL NO_SRL
इसका NULL फ़ायदा उठाकर उसके पड़ोसी उससे निकटता बढाई लेकिन लड़की गर्भवती NULL2 हो उसे NULL3 छोड़कर भागने,NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL ARGM-TMP ARG1 NO_SRL ARGM-MNR NO_SRL
लड़की परिजनों दबाव उसने तरह शादी कर लेकिन NULL फिर अबला भरोसे छोड़,NO_SRL NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-ADV ARG1 ARGM-MNR NO_SRL
अपने NULL हुई ज्यादती NULL2 शिकायत लेकर उत्तरांचल NULL3 जिले रहने सुनीता बदला नाम अपनी NULL4 बच्ची लेकर2 पुलिस बार दौड़ती लेकिन उसकी एक सुनी,ARGM-DIS NO_SRL NO_SRL ARG1 NO_SRL ARG1 ARGM-MNR NO_SRL NO_SRL ARG2-LOC NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL ARG1 ARGM-MNR ARGM-LOC ARGM-ADV NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
NULL हारकर उसने में मदद गुहार लगाई और अब आयोग2 हस्तक्षेप फिर घर बसने,NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP NO_SRL ARGM-TMP ARGM-MNR ARG2-LOC NO_SRL
सुनीता रूप उत्तरांचल जिले NULL कोटद्वार रहने है,ARG0 ARGM-MNR NO_SRL NO_SRL NO_SRL ARG2-LOC ARG2-ATR NO_SRL
लेकिन बेटी पैर खड़ा करने आस उसकी मां देवी दिल्ली इलाके रह,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG0 NO_SRL ARG2-LOC NO_SRL
